NSPID,volume,psc,px,py,pz
S0001,3136.0,1.3989828491210938,42.0,-86.0,8.0
S0004,0.0,nan,nan,nan,nan
S0005,1512.0,0.82271492004394531,30.0,-90.0,0.0
S0006,64.0,0.74463417053222658,30.0,-80.0,10.0
S0007,0.0,nan,nan,nan,nan
S0009,1368.0,1.2645338439941407,28.0,-88.0,-10.0
S0010,0.0,nan,nan,nan,nan
S0012,3816.0,0.89087974548339843,34.0,-88.0,-4.0
S0014,2584.0,0.89567054748535158,32.0,-96.0,-4.0
S0016,0.0,nan,nan,nan,nan
S0017,1872.0,1.0613820648193359,36.0,-78.0,4.0
S0019,0.0,nan,nan,nan,nan
S0020,40.0,0.95746315002441407,28.0,-84.0,4.0
S0023,0.0,nan,nan,nan,nan
S0025,1168.0,0.86690330505371094,36.0,-90.0,-6.0
S0027,0.0,nan,nan,nan,nan
S0029,2120.0,1.1707659912109376,28.0,-92.0,-6.0
S0031,256.0,0.71619873046875004,32.0,-84.0,-6.0
S0032,0.0,nan,nan,nan,nan
S0034,440.0,0.84651550292968747,36.0,-82.0,0.0
S0035,0.0,nan,nan,nan,nan
S0036,0.0,nan,nan,nan,nan
S0037,1056.0,1.1023944854736327,36.0,-82.0,-4.0
S0038,760.0,0.76436500549316411,30.0,-90.0,-2.0
S0040,2640.0,0.91381523132324216,30.0,-84.0,8.0
S0041,528.0,0.93055053710937496,36.0,-76.0,4.0
S0044,3072.0,1.1003811645507813,26.0,-90.0,-6.0
S0046,280.0,1.3948463439941405,32.0,-88.0,-4.0
S0047,656.0,1.3541140747070313,36.0,-90.0,6.0
S0049,360.0,0.79584167480468748,38.0,-86.0,-4.0
S0051,0.0,nan,nan,nan,nan
S0052,240.0,1.0655501556396485,38.0,-88.0,-12.0
S0053,808.0,1.1332496643066405,38.0,-82.0,0.0
S0056,9664.0,1.7942062377929688,38.0,-80.0,0.0
S0057,1928.0,1.1954376220703125,32.0,-90.0,-8.0
S0059,2440.0,0.98844497680664067,32.0,-86.0,-4.0
S0068,4656.0,1.1490345764160157,40.0,-82.0,-6.0
S0069,320.0,0.94516098022460937,36.0,-76.0,2.0
S0070,0.0,nan,nan,nan,nan
S0074,264.0,0.86818374633789064,34.0,-80.0,4.0
S0076,840.0,1.0436397552490235,40.0,-80.0,-12.0
S0077,488.0,1.280033721923828,40.0,-86.0,-8.0
S0079,880.0,1.2608737945556641,40.0,-88.0,-6.0
S0081,256.0,0.90465713500976563,38.0,-82.0,-12.0
S0085,80.0,0.87879013061523437,40.0,-86.0,-2.0
S0087,0.0,nan,nan,nan,nan
